txid	taxo1	taxo2
2	Bacteria	Bacteria__txid2
137	Spirochaetes	Spirochaetes_Spirochaetaceae_txid137
166	Spirochaetes	Spirochaetes_Treponema_sp_txid166
872	Desulfobacterota	Desulfobacterota_Desulfovibrio_sp_txid872
873	Desulfobacterota	Desulfobacterota_Desulfovibrio_africanus_txid873
876	Desulfobacterota	Desulfobacterota_Desulfovibrio_desulfuricans_ND132_txid876
885	Desulfobacterota	Desulfobacterota_Desulfovibrio_sp_txid885
889	Desulfobacterota	Desulfobacterota_Desulfovibrio_longus_DSM6739_txid889
892	Desulfobacterota	Desulfobacterota_Desulfuromonas_sp_txid892
893	Desulfobacterota	Desulfobacterota_Desulfobulbus_txid893
894	Desulfobacterota	Desulfobacterota_Desulfobulbus_propionicus_DSM2032_txid894
895	Desulfobacterota	Desulfobacterota_Desulfobulbus_sp_MAG_6_1_txid895
899	Desulfobacterota	Desulfobacterota_Desulfomicrobium_baculatum_DSM4028_txid899
976	Bacteroidetes	Bacteroidetes__txid976
989	Bacteroidetes	Bacteroidetes_Marinilabilia_salmonicolor_160A_txid989
1090	Chlorobi	Chlorobi__txid1090
1102	Desulfobacterota	Desulfobacterota_Desulfopila_aestuarii_DSM18488_txid1102
1485	Firmicutes-Clostridia	Firmicutes-Clostridia_Clostridium_sp_txid1485
1534	Firmicutes-Clostridia	Firmicutes-Clostridia_Clostridium_kluyveri_JZZ_txid1534
1557	Firmicutes-Clostridia	Firmicutes-Clostridia_Clostridium_litorale_W6_DSM5388_txid1557
1563	Firmicutes-Clostridia	Firmicutes-Clostridia_Desulfosporosinus_orientis_Singapore_I_DSM765_txid1563
1760	Actinobacteria	Actinobacteria__txid1760
2157	Archaea	Archaea__txid2157
2191	Euryarchaeota	Euryarchaeota_Methanomicrobiales_txid2191
2193	Euryarchaeota	Euryarchaeota_Methanocorpusculum_parvum_XII_txid2193
2201	Euryarchaeota	Euryarchaeota_Methanofollis_liminatans_GKZPZ_txid2201
2202	Euryarchaeota	Euryarchaeota_Methanospirillum_txid2202
2226	Euryarchaeota	Euryarchaeota_Methanococcoides_methylutens_TMA-10_txid2226
2261	Thermococci	Thermococci_Pyrococcus_furiosus_COM1_txid2261
2289	Desulfobacterota	Desulfobacterota_Desulfobacter_sp_ARS36_txid2289
2323	Bacteria	Bacteria__txid2323
2357	Desulfobacterota	Desulfobacterota_Desulfomonilaceae_txid2357
2358	Desulfobacterota	Desulfobacterota_Desulfomonile_tiedjei_DCB-1_DSM6799_txid2358
2374	Firmicutes-Clostridia	Firmicutes-Clostridia_Acetonema_longum_DSM6540_txid2374
28211	Alphaproteobacteria	Alphaproteobacteria__txid28211
28221	Desulfobacterota	Desulfobacterota__txid28221
28231	Desulfobacterota	Desulfobacterota_Geobacter_sp_txid28231
28232	Desulfobacterota	Desulfobacterota_Geobacter_metallireducens_GS-15_txid28232
28890	Euryarchaeota	Euryarchaeota__txid28890
29371	Firmicutes-Clostridia	Firmicutes-Clostridia_Clostridium_termitidis_CT1112_DSM5398_txid29371
29503	Desulfobacterota	Desulfobacterota_Desulfomicrobium_escambiense_DSM10707_txid29503
31989	Alphaproteobacteria	Alphaproteobacteria_Rhodobacteraceae_txid31989
35554	Desulfobacterota	Desulfobacterota_Geobacter_sulfurreducens_PCA_txid35554
35825	Firmicutes-Clostridia	Firmicutes-Clostridia_Pseudobacteroides_cellulosolvens_ATCC_35603_DSM2933_txid35825
35830	Firmicutes-Clostridia	Firmicutes-Clostridia_Hungateiclostridium_cellulolyticum_CD2_txid35830
35837	Desulfobacterota	Desulfobacterota_Desulfacinum_infernum_DSM9756_txid35837
36854	Firmicutes-Clostridia	Firmicutes-Clostridia_Desulfitodehalogenans_JWIU-DC1_txid36854
37452	Bacteroidetes	Bacteroidetes__txid37452
38026	Euryarchaeota	Euryarchaeota_Methanolobus_vulcani_PL_12M_txid38026
38064	Euryarchaeota	Euryarchaeota_Methanomicrobiales_txid38064
38780	Spirochaetes	Spirochaetes_Spirochaetaceae_txid38780
39779	Firmicutes	Firmicutes_Eubacteriales_txid39779
43775	Desulfobacterota	Desulfobacterota_Syntrophus_gentianae_HQG1_txid43775
45456	Desulfobacterota	Desulfobacterota__txid45456
45989	Euryarchaeota	Euryarchaeota_Methanoculleus_txid45989
46610	Desulfobacterota	Desulfobacterota_Geobacter_sp_txid46610
48256	Firmicutes	Firmicutes_Ruminiclostridium_hungatei_DSM14427_txid48256
51195	Desulfobacterota	Desulfobacterota_Desulfofustis_glycolicus_DSM9705_txid51195
51197	Firmicutes	Firmicutes_Syntrophobotulus_glycolicus_DSM8271_txid51197
52560	Desulfobacterota	Desulfobacterota_Desulfomicrobium_apsheronum_DSM5918_txid52560
52561	Desulfobacterota	Desulfobacterota_Desulfomicrobium_norvegicum_DSM1741_txid52561
53245	Desulfobacterota	Desulfobacterota_Desulfonatronovibrio_hydrogenovorans_DSM9292_txid53245
53318	Desulfobacterota	Desulfobacterota_Desulfocapsaceae_bacteria00193_txid53318
53329	Desulfobacterota	Desulfobacterota_Desulfospira_joergensenii_DSM10085_txid53329
54767	Desulfobacterota	Desulfobacterota_Desulfovibrio_indonesiensis_P37SLT_txid54767
55583	Firmicutes	Firmicutes_Dehalobacter_restrictus_DSM9455_txid55583
56780	Desulfobacterota	Desulfobacterota_Syntrophus_aciditrophicus_SB_txid56780
57040	Desulfobacterota	Desulfobacterota_Malonomonas_rubra_txid57040
57320	Desulfobacterota	Desulfobacterota_Pseudodesulfovibrio_profundus_500-1_txid57320
60035	Desulfobacterota	Desulfobacterota_Geobacter_bremensis_R1_txid60035
60036	Desulfobacterota	Desulfobacterota_Geobacter_pelophilus_Drf2_txid60036
61435	Chloroflexota	Chloroflexota_Dehalococcoides_mccartyi_DCMB5_txid61435
63560	Desulfobacterota	Desulfobacterota_Desulfovibrio_oxyclinae_DSM11498_txid63560
66849	Desulfobacterota	Desulfobacterota_Desulfonatronum_lacustre_Z-7951_DSM10312_txid66849
68525	Bacteria	Bacteria__txid68525
71518	Euryarchaeota	Euryarchaeota_Methanocorpusculum_bavaricum_DSM4179_txid71518
78537	Unclassified	Unclassified_Unclassified_txid78537
84086	Firmicutes	Firmicutes_Firmicutes_txid84086
