"tax_id","parent_id","rank","tax_name","root","root_","root__","root___","superkingdom","superkingdom_","superkingdom__","superkingdom___","superkingdom____","kingdom","kingdom_","kingdom__","kingdom___","kingdom____","kingdom_____","phylum","phylum_","phylum__","subphylum","class","class_","class__","subclass","order","order_","order__","suborder","family","family_","family__","subfamily","genus","genus_","species","species_","subspecies","subspecies_"
"1","1","root","root","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12908","1","root_","unclassified sequences","1","12908","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"151659","12908","root__","environmental samples <unclassified,environmental samples,unclassified sequences>","1","12908","151659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"358574","151659","species","uncultured microorganism","1","12908","151659","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","358574","","",""
"408169","12908","root__","metagenomes <scientific name>","1","12908","408169","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"410657","408169","root___","ecological metagenomes","1","12908","408169","410657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"408172","410657","species","marine metagenome","1","12908","408169","410657","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","408172","","",""
"131567","1","root_","cellular organisms","1","131567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","131567","superkingdom","Bacteria <bacteria>","1","131567","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1224","2","phylum","Proteobacteria","1","131567","","","2","","","","","","","","","","","1224","","","","","","","","","","","","","","","","","","","","",""
"1236","1224","class","Gammaproteobacteria","1","131567","","","2","","","","","","","","","","","1224","","","","1236","","","","","","","","","","","","","","","","",""
"118884","1236","class_","unclassified Gammaproteobacteria","1","131567","","","2","","","","","","","","","","","1224","","","","1236","118884","","","","","","","","","","","","","","","",""
"33811","118884","class__","unclassified Gammaproteobacteria (miscellaneous)","1","131567","","","2","","","","","","","","","","","1224","","","","1236","118884","33811","","","","","","","","","","","","","","",""
"1913989","33811","species","Gammaproteobacteria bacterium","1","131567","","","2","","","","","","","","","","","1224","","","","1236","118884","33811","","","","","","","","","","","","1913989","","",""
"1553900","1224","class","Oligoflexia","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","","","","","","","","","","","","","",""
"213481","1553900","order","Bdellovibrionales","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","","","","","","","","","","","","",""
"404130","213481","order_","unclassified Bdellovibrionales","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","","","",""
"1797386","404130","species","Bdellovibrionales bacterium GWB1_55_8","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797386","","",""
"1797396","404130","species","Bdellovibrionales bacterium RIFOXYC1_FULL_39_130","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797396","","",""
"1797397","404130","species","Bdellovibrionales bacterium RIFOXYC1_FULL_54_43","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797397","","",""
"1797398","404130","species","Bdellovibrionales bacterium RIFOXYC12_FULL_39_17","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797398","","",""
"1797405","404130","species","Bdellovibrionales bacterium RIFOXYD12_FULL_39_22","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797405","","",""
"1797406","404130","species","Bdellovibrionales bacterium RIFOXYB1_FULL_39_21","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","1797406","","",""
"2053517","404130","species","Bdellovibrionales bacterium","1","131567","","","2","","","","","","","","","","","1224","","","","1553900","","","","213481","404130","","","","","","","","","2053517","","",""
"28211","1224","class","Alphaproteobacteria","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","","","","","","","","","","","","","",""
"204455","28211","order","Rhodobacterales","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","","","","","","","","","",""
"31989","204455","family","Rhodobacteraceae","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","","","","","",""
"152161","31989","genus","Stappia","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","152161","","","","",""
"2629676","152161","genus_","unclassified Stappia","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","152161","2629676","","","",""
"2003585","2629676","species","Stappia sp. TSB10P1A","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","152161","2629676","2003585","","",""
"2676790","31989","genus","Acidimangrovimonas","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","2676790","","","","",""
"765699","2676790","species","Acidimangrovimonas indica","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","204455","","","","31989","","","","2676790","","765699","","",""
"356","28211","order","Rhizobiales","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","356","","","","","","","","","","","","",""
"41294","356","family","Bradyrhizobiaceae","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","356","","","","41294","","","","","","","","",""
"374","41294","genus","Bradyrhizobium","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","356","","","","41294","","","","374","","","","",""
"2631580","374","genus_","unclassified Bradyrhizobium","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","356","","","","41294","","","","374","2631580","","","",""
"196490","2631580","species","Bradyrhizobium sp. Ai1a-2","1","131567","","","2","","","","","","","","","","","1224","","","","28211","","","","356","","","","41294","","","","374","2631580","196490","","",""
"68525","1224","subphylum","delta/epsilon subdivisions","1","131567","","","2","","","","","","","","","","","1224","","","68525","","","","","","","","","","","","","","","","","",""
"28221","68525","class","Deltaproteobacteria","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","","","","","","","","","","","","","",""
"213115","28221","order","Desulfovibrionales","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","","","","","","","","","",""
"194924","213115","family","Desulfovibrionaceae","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","","","","","",""
"1912771","194924","genus","Halodesulfovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","1912771","","","","",""
"2035811","194924","genus","Pseudodesulfovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","","","","",""
"1716143","2035811","species","Pseudodesulfovibrio indicus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","","1716143","","",""
"182210","2035811","species","Pseudodesulfovibrio aespoeensis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","","182210","","",""
"2125990","2035811","species","Pseudodesulfovibrio hydrargyri","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","","2125990","","",""
"57320","2035811","species","Pseudodesulfovibrio profundus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","","57320","","",""
"2661612","2035811","genus_","unclassified Pseudodesulfovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","2661612","","","",""
"2283629","2661612","species","Pseudodesulfovibrio sp. S3","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2035811","2661612","2283629","","",""
"2582836","194924","genus","Desulfohalovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582836","","","","",""
"293256","2582836","species","Desulfohalovibrio alkalitolerans","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582836","","293256","","",""
"2582840","194924","genus","Desulfocurvibacter","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582840","","","","",""
"873","2582840","species","Desulfocurvibacter africanus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582840","","873","","",""
"1511600","873","subspecies","Desulfocurvibacter africanus subsp. africanus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582840","","873","","1511600",""
"1121435","1511600","subspecies_","Desulfocurvibacter africanus subsp. africanus DSM 2603","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","2582840","","873","","1511600","1121435"
"700595","194924","genus","Desulfocurvus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","700595","","","","",""
"399548","700595","species","Desulfocurvus vexinensis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","700595","","399548","","",""
"1121406","399548","species_","Desulfocurvus vexinensis DSM 17965","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","700595","","399548","1121406","",""
"872","194924","genus","Desulfovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","","","",""
"102109","872","species","Desulfovibrio inopinatus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","102109","","",""
"221711","872","species","Desulfovibrio brasiliensis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","221711","","",""
"1294020","221711","species_","Desulfovibrio brasiliensis JCM 12178","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","221711","1294020","",""
"241368","872","species","Desulfovibrio ferrophilus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","241368","","",""
"270496","872","species","Desulfovibrio putealis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","270496","","",""
"370038","872","species","Desulfovibrio marinus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","370038","","",""
"376490","872","species","Desulfovibrio bizertensis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","376490","","",""
"45629","872","species","Desulfovibrio halophilus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","45629","","",""
"1121450","45629","species_","Desulfovibrio halophilus DSM 5663","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","45629","1121450","",""
"54767","872","species","Desulfovibrio indonesiensis","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","54767","","",""
"63560","872","species","Desulfovibrio oxyclinae","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","63560","","",""
"876","872","species","Desulfovibrio desulfuricans","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","876","","",""
"889","872","species","Desulfovibrio longus","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","","889","","",""
"2593640","872","genus_","unclassified Desulfovibrio","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","","","",""
"1961405","2593640","species","Desulfovibrio sp. UBA1335","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","1961405","","",""
"1961408","2593640","species","Desulfovibrio sp. UBA6079","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","1961408","","",""
"1961411","2593640","species","Desulfovibrio sp. UBA7315","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","1961411","","",""
"885","2593640","species","Desulfovibrio sp.","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","885","","",""
"941449","2593640","species","Desulfovibrio sp. X2","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","","","","872","2593640","941449","","",""
"231685","194924","family_","unclassified Desulfovibrionaceae","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","231685","","","","","","","",""
"1961567","231685","species","Desulfovibrionaceae bacterium UBA6814","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","231685","","","","","1961567","","",""
"2049043","231685","species","Desulfovibrionaceae bacterium","1","131567","","","2","","","","","","","","","","","1224","","","68525","28221","","","","213115","","","","194924","231685","","","","","2049043","","",""
