seqname,tax_id,species_name
MATE_CEL_0001_OP8_bacterium_SCGC_AAA252-O09_Aminicenantes,1047032,Aminicenantes bacterium SCGC AAA252-O09
MATE_CEL_0002_OP8_bacterium_SCGC_AAA252-O19_Aminicenantes,1047035,Aminicenantes bacterium SCGC AAA252-O19
MATE_CEL_0003_OP8_bacterium_SCGC_AAA255-O15_Aminicenantes,1047045,Aminicenantes bacterium SCGC AAA255-O15
MATE_CEL_0004_OP8_bacterium_SCGC_AAA252-A02_Aminicenantes,1047013,Aminicenantes bacterium SCGC AAA252-A02
MATE_CEL_0005_OP8_bacterium_SCGC_AAA252-F08_Aminicenantes,1047018,Aminicenantes bacterium SCGC AAA252-F08
MATE_CEL_0006_OP8_bacterium_SCGC_AAA252-P19_Aminicenantes,1047037,Aminicenantes bacterium SCGC AAA252-P19
MATE_CEL_0007_OP8_bacterium_SCGC_AAA252-G06_Aminicenantes,1047020,Aminicenantes bacterium SCGC AAA252-G06
MATE_CEL_0008_OP8_bacterium_SCGC_AAA252-J21_Aminicenantes,1047025,Aminicenantes bacterium SCGC AAA252-J21
MATE_CEL_0009_OP8_bacterium_SCGC_AAA252-G05_Aminicenantes,910041,Aminicenantes bacterium SCGC AAA252-G05
MATE_CEL_0010_OP8_bacterium_SCGC_AAA252-P13_Aminicenantes,1047036,Aminicenantes bacterium SCGC AAA252-P13
MATE_CEL_0011_OP8_bacterium_SCGC_AAA252-J09_Aminicenantes,1047023,Aminicenantes bacterium SCGC AAA252-J09
MATE_CEL_0012_OP8_bacterium_SCGC_AAA252-K07_Aminicenantes,1047026,Aminicenantes bacterium SCGC AAA252-K07
MATE_CEL_0013_Aminicenans_sakinawicola_JGI_OTU-1_OP8COM1_Aminicenantes,1383028,Candidatus Aminicenans sakinawicola JGI OTU-1
MATE_CEL_0014_OP9_bacterium_SCGC_AAA252-M02_Atribacteria,913317,Atribacteria bacterium SCGC AAA252-M02
MATE_CEL_0015_OP9_bacterium_SCGC_AAA255-N14_Atribacteria,1047052,Atribacteria bacterium SCGC AAA255-N14
MATE_CEL_0016_OP9_bacterium_SCGC_AB-164-L03_Atribacteria,1104595,Atribacteria bacterium SCGC AB-164-L03
MATE_CEL_0017_OP9_bacterium_SCGC_AB-164-P05_Atribacteria,1104597,Atribacteria bacterium SCGC AB-164-P05
MATE_CEL_0018_Dehalococcoidia_bacterium_SCGC_AG-205-B13_Chloroflexi,2012740,Dehalococcoidia bacterium SCGC AG-205-B13
MATE_CEL_0019_Dehalococcoidia_bacterium_SCGC_AG-205-I02_Chloroflexi,2012752,Dehalococcoidia bacterium SCGC AG-205-I02
MATE_CEL_0020_Dehalococcoidia_bacterium_SCGC_AG-205-I13_Chloroflexi,2012756,Dehalococcoidia bacterium SCGC AG-205-I13
MATE_CEL_0021_Dehalococcoidia_bacterium_SCGC_AG-205-K13_Chloroflexi,2012760,Dehalococcoidia bacterium SCGC AG-205-K13
MATE_CEL_0022_Dehalococcoidia_bacterium_SCGC_AG-205-M10_Chloroflexi,2012765,Dehalococcoidia bacterium SCGC AG-205-M10
MATE_CEL_0023_Dehalococcoidia_bacterium_SCGC_AG-205-M21_Chloroflexi,2012768,Dehalococcoidia bacterium SCGC AG-205-M21
MATE_CEL_0024_Deltaproteobacteria_bacterium_JGI_A06048-F13_Deltaproteobacteria,1382363,Deltaproteobacteria bacterium JGI A06048-F13
MATE_CEL_0025_Deltaproteobacteria_bacterium_JGI_E06040-H20__Deltaproteobacteria,1382365,Deltaproteobacteria bacterium JGI E06040-H20
MATE_CEL_0026_Desulfarculaceae_bacterium_191_B12_Deltaproteobacteria,860782,uncultured Desulfarculaceae bacterium
MATE_CEL_0027_Methanoregulaceae_archaeon_JGI_M3C4D3-001-G22_Euryarchaeota,2012784,Methanoregulaceae archaeon JGI M3C4D3-001-G22
MATE_CEL_0028_Nitrospina_SCGC_AAA288-L16_Nitrospina,913337,Nitrospina sp. SCGC AAA288-L16
MATE_CEL_0029_Nitrospina_AB-629-B06_Nitrospina,1131270,Nitrospina sp. AB-629-B06
MATE_ISO_0001_Desulfovibrio_desulfuricans_ND132_Deltaproteobacteria,876,Desulfovibrio desulfuricans
MATE_ISO_0002_Geobacter_sulfurreducens_PCA_Deltaproteobacteria,35554,Geobacter sulfurreducens
MATE_ISO_0003_Desulfacinum_hydrothermale_DSM_13146_Deltaproteobacteria,109258,Desulfacinum hydrothermale
MATE_ISO_0004_Desulfobulbus_propionicus_DSM_2032_Deltaproteobacteria,894,Desulfobulbus propionicus
MATE_ISO_0005_Desulfococcus_multivorans_DSM_2059_Deltaproteobacteria,1121405,Desulfococcus multivorans DSM 2059
MATE_ISO_0006_Desulfomicrobium_baculatum_DSM_4028_Deltaproteobacteria,899,Desulfomicrobium baculatum
MATE_ISO_0007_Desulfomicrobium_escambiense_DSM_10707_Deltaproteobacteria,29503,Desulfomicrobium escambiense
